"adr_inter","adresse","adrzus_int","behindertenparkplatz","bemerkung","ccmail","da","datum","datum_cms","dep","editor","erforderlichedokumente","fax","hausnummer","hindernisfreiheit","infrastruktur","isbetriebsferien_gebaeude","isbetriebsferien_schalter","kategorie","mail","name","namenzus","objectid","oeffnungszeiten_gebaeude_di","oeffnungszeiten_gebaeude_do","oeffnungszeiten_gebaeude_fr","oeffnungszeiten_gebaeude_mi","oeffnungszeiten_gebaeude_mo","oeffnungszeiten_gebaeude_sa","oeffnungszeiten_gebaeude_so","oeffnungszeiten_schalter_di","oeffnungszeiten_schalter_do","oeffnungszeiten_schalter_fr","oeffnungszeiten_schalter_mi","oeffnungszeiten_schalter_mo","oeffnungszeiten_schalter_sa","oeffnungszeiten_schalter_so","ort","plz","poi_id","postadresse","publish_internet","strasse","suchen","tel","tel2","www","zahlungsmittel_internet","zahlungsmittel_schalter","zahlungsmittel_telefon","zvv_label","zvv_link","geometry"
"","Birmensdorferstrasse 489","","","","","Alterszentren","202003161721","","Gesundheits- und Umweltdepartement (GUD)","swzihoher","","+41 44 414 30 63","489","0_",";NULL","1","0","Alterszentrum","asz-mathysweg@zuerich.ch","Alterszentrum Mathysweg","c/o Temporäres Alterszentrum Triemli","7648","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8055","al011","","1","Birmensdorferstrasse","Alterszentrum, Altersheime","+41 44 414 30 30","","https://www.stadt-zuerich.ch/alterszentren","NULL;NULL;","NULL;NULL;","NULL;NULL;","Birmensdorferstrasse 489","https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Z%C3%BCrich%2C Birmensdorferstrasse 489","POINT (2679955 1246842)"
"","Langensteinenstrasse 40","","","","","Alterszentren","202003161721","","Gesundheits- und Umweltdepartement (GUD)","ahzcao","","+41 44 414 17 18","40","blind_-1;gehbehinderung_-1;gehoerlos_-1;rollstuhl_-1;schwerhoerig_-1;sehbehinderung_-1","NULL;NULL","0","0","Alterszentrum","asz-oberstrass@zuerich.ch","Alterszentrum Oberstrass","","7649","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8057","al013","","1","Langensteinenstrasse","Alterszentrum, Altersheime","+41 44 414 17 17","","https://www.stadt-zuerich.ch/alterszentren","NULL;NULL;NULL","NULL;NULL;NULL","NULL;NULL;NULL","Langensteinenstrasse 40","https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Zürich%2C%20Langensteinenstrasse%2040","POINT (2683688 1249793.9)"
"","Langgrütstrasse 51","","","","","Alterszentren","202003161721","","Gesundheits- und Umweltdepartement (GUD)","aszbglmk","","+41 44 414 26 31","51","0_",";NULL","1","0","Alterszentrum","asz-langgruet@zuerich.ch","Alterszentrum Langgrüt","","9135","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8047","al008","","1","Langgrütstrasse","Alterszentrum, Altersheime","+41 44 414 26 30","","https://www.stadt-zuerich.ch/alterszentren","NULL;NULL;","NULL;NULL;","NULL;NULL;","Langgrütstrasse 51","https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Zürich%2C%20Langgrütstrasse%2051","POINT (2680137 1247399)"
"","Hegianwandweg 16","","","","","Alterszentren","202003161721","","Gesundheits- und Umweltdepartement (GUD)","aszbglmk","","+41 44 414 05 05","16","0_",";NULL","1","0","Alterszentrum","asz-laubegg@zuerich.ch","Alterszentrum Laubegg","","9479","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8045","al5040","Hegianwandstrasse 16
8045 Zürich","1","Hegianwandweg","Alterszentrum, Altersheime","+41 44 414 05 05","","https://www.stadt-zuerich.ch/alterszentren","NULL;NULL;","NULL;NULL;","NULL;NULL;","Hegianwandweg 16","https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Zürich%2C%20Hegianwandweg%2016","POINT (2681202 1245772)"
"","Online Veranstaltung","","","","","Alterszentren","202103081623","","Gesundheits- und Umweltdepartement (GUD)","aszbxt8z","","","","0_",";NULL","1","0","Alterszentrum","","Online Veranstaltung","","10593","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","","","al9581","","0","","","","","","NULL;NULL;","NULL;NULL;","NULL;NULL;","Online Veranstaltung","http://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Z%C3%BCrich%2C Mythenquai 377","POINT (2683639 1244534)"
"","Asylstrasse 130","","","","","Alterszentren","202003161721","","Gesundheits- und Umweltdepartement (GUD)","aszbxt8z","","+41 44 414 03 44","130","0_",";NULL","1","0","Alterszentrum","","Alterszentrum Klus Park","","11499","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8032","al7401","","1","Asylstrasse","","+41 44 414 03 33","","https://www.stadt-zuerich.ch/alterszentren","NULL;NULL;","NULL;NULL;","NULL;NULL;","Asylstrasse 130","https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Z%C3%BCrich%2C Asylstrasse 130","POINT (2685050 1246604)"
"","Klebestrasse 2","","","","","Alterszentren","202012141012","","Gesundheits- und Umweltdepartement (GUD)","aszbxt8z","","","2","0_",";NULL","0","0","Alterszentrum","","Alterszentrum Balderen","","11539","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8041","al9361","","1","Klebestrasse","Alterszentrum, Altersheime","+41 44 414 00 14","","https://www.stadt-zuerich.ch/alterszentren","NULL;NULL;","NULL;NULL;","NULL;NULL;","Klebestrasse 2","https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Zürich, Klebestrasse 2","POINT (2681212 1242293)"
"","Leimbachstrasse 210","","","","","Alterszentren","202003161721","","Gesundheits- und Umweltdepartement (GUD)","aszbglmk","","+41 44 414 24 25","210","blind_-1;gehbehinderung_-1;gehoerlos_-1;rollstuhl_-1;schwerhoerig_-1;sehbehinderung_-1","NULL;NULL","0","0","Alterszentrum","asz-mittelleimbach@zuerich.ch","Alterszentrum Mittelleimbach","","11841","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8041","al016","","1","Leimbachstrasse","Alterszentrum, Altersheime","+41 44 414 24 24","","https://www.stadt-zuerich.ch/alterszentren","NULL;NULL;NULL","NULL;NULL;NULL","NULL;NULL;NULL","Leimbachstrasse 210","https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Zürich%2C%20Leimbachstrasse%20210","POINT (2681363.8 1242236.9)"
"","Wolfswinkel 9","","","","","Alterszentren","202006041634","","Gesundheits- und Umweltdepartement (GUD)","aszbxt8z","","+41 44 414 34 37","9","0_",";NULL","1","0","Alterszentrum","ASZ-Wolfswinkel@zuerich.ch","Alterszentrum Wolfswinkel","","6759","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8046","al8711","","1","Wolfswinkel","Alterszentrum, Altersheime","+41 44 414 34 34","","https://www.stadt-zuerich.ch/alterszentren","NULL;NULL;","NULL;NULL;","NULL;NULL;","Wolfswinkel 9","http://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Z%C3%BCrich%2C Wolfswinkel 9","POINT (2681084 1253126)"
"","Glattstegweg 7","","","","","Alterszentren","202003161721","","Gesundheits- und Umweltdepartement (GUD)","aszbglmk","","+41 44 414 33 01","7","0_",";NULL","1","0","Alterszentrum","asz-herzogenmuehle@zuerich.ch","Alterszentrum Herzogenmühle","","6827","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8051","al014","","1","Glattstegweg","Alterszentrum, Altersheime","+41 44 414 33 00","","https://www.stadt-zuerich.ch/alterszentren","NULL;NULL;","NULL;NULL;","NULL;NULL;","Glattstegweg 7","https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Zürich%2C%20Glattstegweg%207","POINT (2685681 1251323)"
"","Selnaustrasse 18","","","","","Alterszentren","202003161721","","Gesundheits- und Umweltdepartement (GUD)","aszbglmk","","+41 44 414 18 89","18","blind_-1;gehbehinderung_-1;gehoerlos_-1;rollstuhl_-1;schwerhoerig_-1;sehbehinderung_-1","NULL;NULL","0","0","Alterszentrum","asz-selnau@zuerich.ch","Alterszentrum Selnau","","6828","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8001","al015","","1","Selnaustrasse","Alterszentrum, Altersheime","+41 44 414 18 88","","https://www.stadt-zuerich.ch/alterszentren","NULL;NULL;NULL","NULL;NULL;NULL","NULL;NULL;NULL","Selnaustrasse 18","https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Zürich%2C%20Selnaustrasse%2018","POINT (2682628 1247187.9)"
"","Hönggerstrasse 119","","","","","Alterszentren","202003161721","","Gesundheits- und Umweltdepartement (GUD)","ahzcao","","+41 44 414 07 08","119","blind_-1;gehbehinderung_-1;gehoerlos_-1;rollstuhl_-1;schwerhoerig_-1;sehbehinderung_-1","NULL;NULL","0","0","Alterszentrum","asz-sydefaedeli@zuerich.ch","Alterszentrum Sydefädeli","","6829","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8037","al017","","1","Hönggerstrasse","Alterszentrum, Altersheime","+41 44 414 07 07","","https://www.stadt-zuerich.ch/alterszentren","NULL;NULL;NULL","NULL;NULL;NULL","NULL;NULL;NULL","Hönggerstrasse 119","https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Zürich%2C%20Hönggerstrasse%20119","POINT (2681468 1249953.9)"
"","Wildbachstrasse 11","","","","","Alterszentren","202003161721","","Gesundheits- und Umweltdepartement (GUD)","aszbglmk","","+41 44 414 40 39","11","0_",";NULL","1","0","Alterszentrum","asz-wildbach@zuerich.ch","Alterszentrum Wildbach","","6831","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8008","al019","","1","Wildbachstrasse","Alterszentrum, Altersheime","+41 44 414 40 40","","https://www.stadt-zuerich.ch/alterszentren","NULL;NULL;","NULL;NULL;","NULL;NULL;","Wildbachstrasse 11","https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Z%C3%BCrich%2C Wildbachstrasse 11","POINT (2684502 1245755)"
"","Nordstrasse 349 (freig.)","","","","","Alterszentren","202003161721","","Gesundheits- und Umweltdepartement (GUD)","swzihoher","","+41 44 414 20 01","349","0_","Restaurant;NULL","1","1","Alterszentrum","asz-trotte@zuerich.ch","Alterszentrum Trotte","","6885","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8037","al020","","1","Nordstrasse","","+41 44 414 20 00","","https://www.stadt-zuerich.ch/alterszentren","NULL;NULL;","NULL;NULL;","NULL;NULL;","Nordstrasse 349 (freig.)","https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Z%C3%BCrich%2C Nordstrasse 349","POINT (2681562 1250070)"
"","Kalchbühlstrasse 118","","","","","Alterszentren","202003161721","","Gesundheits- und Umweltdepartement (GUD)","aszbglmk","","+41 44 414 38 49","118","0_",";NULL","1","0","Alterszentrum","asz-kalchbuehl@zuerich.ch","Alterszentrum Kalchbühl (Wollishofen)","","6886","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8038","al021","","1","Kalchbühlstrasse","Alterszentrum, Altersheime","+41 44 414 38 48","","https://www.stadt-zuerich.ch/alterszentren","NULL;NULL;","NULL;NULL;","NULL;NULL;","Kalchbühlstrasse 118","https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Zürich%2C%20Kalchbühlstrasse%20118","POINT (2682830 1243224)"
