"adr_inter","adresse","adrzus_int","behindertenparkplatz","bemerkung","ccmail","da","datum","datum_cms","dep","editor","erforderlichedokumente","fax","hausnummer","hindernisfreiheit","infrastruktur","isbetriebsferien_gebaeude","isbetriebsferien_schalter","kategorie","mail","name","namenzus","objectid","oeffnungszeiten_gebaeude_di","oeffnungszeiten_gebaeude_do","oeffnungszeiten_gebaeude_fr","oeffnungszeiten_gebaeude_mi","oeffnungszeiten_gebaeude_mo","oeffnungszeiten_gebaeude_sa","oeffnungszeiten_gebaeude_so","oeffnungszeiten_schalter_di","oeffnungszeiten_schalter_do","oeffnungszeiten_schalter_fr","oeffnungszeiten_schalter_mi","oeffnungszeiten_schalter_mo","oeffnungszeiten_schalter_sa","oeffnungszeiten_schalter_so","ort","plz","poi_id","postadresse","publish_internet","strasse","suchen","tel","tel2","www","zahlungsmittel_internet","zahlungsmittel_schalter","zahlungsmittel_telefon","zvv_label","zvv_link","nummer","foto","eignung","geraete","bereich","infrastruk","besonderes","typ","elemente","gsz_id","geometry"
"","Zeuner-/Kyburg-/Landenbergstrasse                                     ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Landenberganlage                                                      ","","10569.0000000000","","","","","","","","","","","","","","","","8037","sp032","","1","","Spiel- und Liegewiese, Kletteranlage mit Rutsche, Sandbereich, Federwippe, Brettschaukel, Tischtennistisch, Sitzbänke, Baumbestand                                                                                                                        ","+41 44 361 63 18","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","32","JA","0 - 9 Jahre","Kletteranlage mit Rutsche, Sandbereich, Federwippe, Brettschaukel, Tischtennistisch","","Sitzbänke","grosszügig Parkanlage mit altem Baumbestand","Spielplatz","Spiel- und Liegewiese","0032","POINT Z (2682193 1249599.9 0)"
"","Ampèrestrasse                                                         ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","GZ Wipkingen                                                          ","","10570.0000000000","","","","","","","","","","","","","","","","8037","sp031","","1","","Spiel- und Liegewiese, Planschbecken, Wasserspiel, Kletteranlage mit Rutsche, Brettschaukel, Korbschaukel, Sandbereich, Sandspielgerät, Seilanlage, Kletterelement, Kletteranlage, Sitzbänke, Brunnen, Gemeinschaftszentrum, Cafe, Limmat, Tiere          ","+41 44 361 63 18","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","31","JA","0 - 16 Jahre","Wasserspiel, Kletteranlage mit Rutsche, Brettschaukel, Korbschaukel, Sandbereich, Sandspielgerät, Seilanlage, Kletterelement, Kletteranlage","","Sitzbänke, Brunnen","Gemeinschaftszentrum mit Cafe direkt an der Limmat, Kinderbauernhof mit Tieren ","GZ mit Spielplatz","Spiel- und Liegewiese, Planschbecken","0031","POINT Z (2681653 1249675.9 0)"
"","Lommisweg                                                             ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Lommisweg B                                                           ","","10614.0000000000","","","","","","","","","","","","","","","","8048","sp096b","","1","","Kiesplatz, Hängematte, Balanciergerät, Kletteranlage mit Rutschstangen, Lümmelbank, Sitzbänke                                                                                                                                                             ","+41 44 431 57 61","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","96b","JA","0 - 16 Jahre","Hängematte, Balanciergerät, Kletteranlage mit Rutschstangen","","Lümmelbank, Sitzbänke","Quartierspielplatz","Spielplatz","Kiesplatz","0096B","POINT Z (2679115 1249311.5 0)"
"","Lommisweg                                                             ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Lommisweg A                                                           ","","10615.0000000000","","","","","","","","","","","","","","","","8048","sp096a","","1","","Spiel- und Liegewiese, Kletteranlage mit Rutsche, Kombischaukel, Rotationsgerät, Federwippe, Pumpen, Balkenwippe, Balanciergerät, Sandbereich, Sitzbänke                                                                                                  ","+41 44 431 57 61","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","96a","JA","0 - 5 Jahre","Kletteranlage mit Rutsche, Kombischaukel, Rotationsgerät, Federwippe, Pumpen, Balkenwippe, Balanciergerät, Sandbereich","","Sitzbänke","Umbau 2016","Spielplatz","Spiel- und Liegewiese","0096A","POINT Z (2679144 1249436.6 0)"
"","Scheideggstrasse                                                      ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Rieterpark - Scheideggstrasse                                         ","","10616.0000000000","","","","","","","","","","","","","","","","8002","sp078b","","1","","Spiel- und Liegewiese, Sandbereich, Federwippe, Brettschaukel, Bockrutsche, Sandkasten, Sitzbänke, grosszügige, historische Parkanlage, Museum Rietberg                                                                                                   ","+41 44 201 75 00","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","78b","JA","0 - 5 Jahre","Sandbereich, Federwippe, Brettschaukel, Bockrutsche, Sandkasten","","Sitzbänke","grosszügige, historische Parkanlage, Museum Rietberg","Spielplatz","Spiel- und Liegewiese","0078B","POINT Z (2682409.5 1245630.1 0)"
"","Gabler-/Grütlistrasse                                                 ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Rieterpark - Gablerstrasse                                            ","","10617.0000000000","","","","","","","","","","","","","","","","8002","sp078a","","1","","Spiel- und Liegewiese, Sandbereich, Spielhaus, Brettschaukel, Korbschaukel, Kletteranlage mit Rutsche, Balanciergerät, Sitzbänke, grosszügige, historische Parkanlage, Museum Rietberg                                                                    ","+41 44 201 75 00","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","78a","JA","0 - 5 Jahre","Sandbereich, Spielhaus, Brettschaukel, Korbschaukel, Kletteranlage mit Rutsche, Balanciergerät","","Sitzbänke","grosszügige, historische Parkanlage, Museum Rietberg","Spielplatz","Spiel- und Liegewiese","0078A","POINT Z (2682563.8 1245957.4 0)"
"","Döltschiweg                                                           ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Heuried Freizeitanlage                                                ","","10618.0000000000","","","","","","","","","","","","","","","","8055","sp074b","","1","","Spiel- und Liegewiese, Spielhaus, Federwippe, Brettschaukel, Federwippe, Kletteranlage mit Rutsche, Sitzbänke, krumme und schiefe Kletteranlage                                                                                                           ","+41 44 492 71 41","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","74b","JA","0 - 9 Jahre","Spielhaus, Federwippe, Brettschaukel, Federwippe, Kletteranlage mit Rutsche","","Sitzbänke","krumme und schiefe Kletteranlage","Spielplatz","Spiel- und Liegewiese","0074B","POINT Z (2680472.2 1246780.8 0)"
"","","","","","","Grün Stadt Zürich","202102191237","","Tiefbau- und Entsorgungsdepartement (TED)","gszhai","","","","1_","Besuchenden-WC;Liegewiese","1","0","Spielplatz","","Landiwiese","","10621.0000000000","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8038","sp9485","","1","","","+41 44 482 10 03","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","NULL;NULL;","NULL;NULL;","NULL;NULL;","","http://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Z%C3%BCrich%2C Mythenquai 317","","","","","","","","","","0197","POINT Z (2682874 1244876 0)"
"","Neugasse/Josef-/Ottostrasse                                           ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Josefswiese                                                           ","","10622.0000000000","","","","","","","","","","","","","","","","8005","sp099","","1","","Kiesfläche, Hängematte, Sandbereich, Wasserförderanlage, Brettschaukel, Balanciergerät, Korbschaukel, Balanciergerät, Hängematte, Kletteranlage mit Rutsche,  Pumpe, Tischtennistisch, ZüriWC, Beachvolleyball, Boccia, Plantschbecken,Baumbestand        ","+41 44 461 21 17","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","99","JA","0 - 16 Jahre","Hängematte, Sandbereich, Wasserförderanlage, Brettschaukel, Balanciergerät, Korbschaukel, Balanciergerät, Hängematte, Kletteranlage mit Rutsche,  Pumpe, Tischtennistisch","","ZüriWC, Beachvolleyball, Boccia, Plantschbecken","grosszügige Parkanlage mit altem Baumbestand","Spielplatz","Spiel- und Liegewiese, grosse Kiesfläche","0099","POINT Z (2681845.8 1248909.5 0)"
"","Eugen Huber-/Loogartenstrasse                                         ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","GZ Loogarten                                                          ","","10623.0000000000","","","","","","","","","","","","","","","","8048","sp098","","1","","Spielwiese, Bach, Sandanlage, Kiesfläche, Seilanlage, Brettschaukel, Spielhaus, Pendelschaukel, Balanciergerät, Kletteranlage, Sandbereich, Hangrutsche, Kletterelement, Hängebrücke, Wasserförderanlage, Sitzbänke, Sonnenschirme, Gemeinschaftszentrum  ","+41 44 431 57 61","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","98","JA","0 - 16 Jahre","Seilanlage, Brettschaukel, Spielhaus, Pumpe, Pendelschaukel, Balanciergerät, Kletteranlage mit Rutsche, Sandbereich, Hangrutsche, Kletterelement, Hängebrücke, Wasserförderanlage","","Sitzbänke, Sonnenschirme","Gemeinschaftszentrum angrenzend an Schulanlage mit Schulspielwiese und Hartflächen","GZ mit Spielplatz","Spielwiese, Bach, Sandanlage, grosse Kiesfläche","0098","POINT Z (2678035.2 1249103.5 0)"
"","Klopstockstrasse                                                      ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Klopstockwiese                                                        ","","10624.0000000000","","","","","","","","","","","","","","","","8002","sp077","","1","","Spiel- und Liegewiese, Schlittelhang, Balanciergerät, Federwippe, Sandbereich, Sitzkarussell, Sandspielgeräte, Sitzbänke, Baumbestand                                                                                                                     ","+41 44 201 75 00","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","77","JA","0 - 5 Jahre","Balanciergerät, Federwippe, Sandbereich, Sitzkarussell, Sandspielgeräte","","Sitzbänke","grosszügige Parkanlage mit schönem Baumbestand","Spielplatz","Spiel- und Liegewiese, Schlittelhang","0077","POINT Z (2681990.8 1246293.8 0)"
"","Schweighofstrasse/Döltschiweg                                         ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Känguruhwiese                                                         ","","10625.0000000000","","","","","","","","","","","","","","","","8055","sp076","","1","","Spiel- und Liegewiese, Hartplatz, Schlittelhügel, Federwippe, Sandkasten, Kletteranlage mit Rutsche, Korbschaukel, Sitzbänke, Brunnen,Streuobstwiese                                                                                                      ","+41 44 492 71 41","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","76","JA","0 - 16 Jahre ","Federwippe, Sandkasten, Kletteranlage mit Rutsche, Korbschaukel","","Sitzbänke, Brunnen","grosszügige Parkanlage mit Streuobstwiese","Spielplatz","Spiel- und Liegewiese, Hartplatz, Schlittelhügel","0076","POINT Z (2680275.8 1246417.2 0)"
"","Roswiesenstrasse                                                      ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Roswiesen                                                             ","","10629.0000000000","","","","","","","","","","","","","","","","8051","sp017","","1","","grosse Kiesfläche, Balanciergerät, Kombischaukel, Sandbereich, Kletteranlage mit Rutsche, Sitzbänke                                                                                                                                                       ","+41 44 322 02 20","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","17","JA","0 - 5 Jahre","Balanciergerät, Kombischaukel, Sandbereich, Kletteranlage mit Rutsche","","Sitzbänke","grosszügiger Quartierspielplatz","Spielplatz","grosse Kiesfläche","0017","POINT Z (2685972 1251125.8 0)"
"","Herzogenmühlestrasse                                                  ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Herzogenmühle                                                         ","","10630.0000000000","","","","","","","","","","","","","","","","8051","sp016","","1","","Spiel- und Liegewiese, Bach, Sandanlage, Arena, Sandbereich, Sandspielgerät, Sitzbänke, Wasseranschluss                                                                                                                                                   ","+41 44 322 02 20","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","16","JA","0-5 Jahre","Sandbereich, Sandspielgerät","","Sitzbänke, Wasseranschluss","kleine Grünanlage am Bach","Spielplatz","Spiel- und Liegewiese, Bach, Sandanlage, Arena","0016","POINT Z (2685590.5 1251129.5 0)"
"","Föhrenstrasse                                                         ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Föhrenwald                                                            ","","10631.0000000000","","","","","","","","","","","","","","","","8050","sp015","","1","","Spiel- und Liegewiese, Planschbecken, Kletteranlage mit Rutsche, Brettschaukel, Brettschaukel, Spielhaus, Sandbereich, Hüpfteller,  Federwippe, Feuerstellen, Wald                                                                                        ","+41 44 322 02 20","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","15","JA","0 - 9 Jahre","Kletteranlage mit Rutsche, Brettschaukel, Brettschaukel, Spielhaus, Sandbereich, Hüpfteller,  Federwippe","","Feuerstellen","im Wald gelegener Quartierspielplatz","Spielplatz","Spiel- und Liegewiese, Planschbecken","0015","POINT Z (2683251 1251139.9 0)"
"","Saatlenstrasse                                                        ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Saatlen-Grünzug                                                       ","","10632.0000000000","","","","","","","","","","","","","","","","8051","sp014","","1","","Sandanlage, Sandbereich, Matschtisch, Sandspielgeräte, Kletteranlage mit Rutsche, Brettschaukel, Sitzbänke, Grünzug                                                                                                                                       ","+41 44 322 02 20","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","14","JA","0-5 Jahre","Sandbereich, Matschtisch, Sandspielgeräte, Kletteranlage mit Rutsche, Brettschaukel","","Sitzbänke","Grünzug","Spielplatz","Sandanlage","0014","POINT Z (2685267 1251186.8 0)"
"","Althoosstrasse                                                        ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Althoos                                                               ","","10633.0000000000","","","","","","","","","","","","","","","","8046","sp012","","1","","Spiel- und Liegewiese, Sandbereich, Brettschaukel, Hüpfteller, Hangrutsche, Pergola, Sitzbänke                                                                                                                                                            ","+41 44 371 05 13","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","12","JA","0 - 9 Jahre","Sandbereich, Brettschaukel, Hüpfteller, Hangrutsche","","Pergola, Sitzbänke","grosszügige Grünanlage ","Spielplatz","Spiel- und Liegewiese","0012","POINT Z (2681723 1251635.9 0)"
"","Riedgrabenweg                                                         ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Schörli-Grünzug                                                       ","","10634.0000000000","","","","","","","","","","","","","","","","8050","sp011","","1","","Spiel- und Liegewiese, Kletteranlage, Balanciergerät, Hangrutsche, Kletteranlage mit Rutsche, Brettschaukel, Federwippe, Sandbereich, Sitzbänke                                                                                                           ","+41 44 322 02 20","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","11","JA","0 - 9 Jahre","Kletteranlage, Balanciergerät, Hangrutsche, Kletteranlage mit Rutsche, Brettschaukel, Federwippe, Sandbereich","","Sitzbänke","grosszügiger Grünzug ","Spielplatz","Spiel- und Liegewiese","0011","POINT Z (2684649.2 1251637.6 0)"
"","Loogartenstrasse/Am Suteracher                                        ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Am Suteracher                                                         ","","10674.0000000000","","","","","","","","","","","","","","","","8048","sp097","","1","","Spiel- und Liegewiese, Federwippe, Rotationsgerät,  Brettschaukel, Hangrutsche, Sandbereich, Sitzbänke                                                                                                                                                    ","+41 44 431 57 61","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","97","JA","0 - 5 Jahre","Federwippe, Rotationsgerät,  Brettschaukel, Hangrutsche, Sandbereich","","Sitzbänke","kleine, hügelige Spielanlage","Spielplatz","Spiel- und Liegewiese","0097","POINT Z (2678090 1249271.9 0)"
"","Hardhof                                                               ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Hardhof                                                               ","","10675.0000000000","","","","","","","","","","","","","","","","8064","sp095","","1","","grosser, gepflästerter Wasserspielbereich, Wasserspiel, Pumpe, Wasserförderanlage,   Kletterelement, Sitzbänke, Attraktiver, Wasserspielplatz                                                                                                             ","+41 44 344 14 00","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","95","JA","0 - 9 Jahre","Wasserspiel, Pumpe, Wasserförderanlage,   Kletterelement","","Sitzbänke","Attraktiver, vielfältiger Wasserspielplatz in der Sportanlage Hardhof","Spielplatz","grosser, gepflästerter Wasserspielbereich","0095","POINT Z (2679983.2 1250043.1 0)"
"","Hardeggweg/-strasse                                                   ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Hardeggstrasse                                                        ","","10676.0000000000","","","","","","","","","","","","","","","","8049","sp094","","1","","Spiel- und Liegewiese, Kiesfläche, Sandbereich, Sandspielgeräte, Brettschaukel, Kletteranlage mit Rutsche, Bockrutsche, Federwippe, Tischtennistisch, Sitzbänke, Volière                                                                                  ","+41 44 344 14 00","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","94","JA","0 - 5 Jahre","Sandbereich, Sandspielgeräte, Brettschaukel, Kletteranlage mit Rutsche, Bockrutsche, Federwippe, Tischtennistisch","","Sitzbänke, Volière","liegt am rechten Limmatuferweg, Volière in der Anlage","Spielplatz","Spiel- und Liegewiese, Kiesfläche","0094","POINT Z (2680316 1250079.8 0)"
"","Bauherrenstrasse                                                      ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Sonnegg/Bauherrenstrasse                                              ","","10677.0000000000","","","","","","","","","","","","","","","","8049","sp092","","1","","grosse, terrassierte Kiesfläche, Rutsche, Brettschaukel, Sandbereich, Federwippe, Hüpfteller, Sitzbänke, Aussicht                                                                                                                                         ","+41 44 344 14 00","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","92","JA","0 - 5 Jahre","Rutsche, Brettschaukel, Sandbereich, Federwippe, Hüpfteller","","Sitzbänke","ruhig gelegene Anlage mit schöner Aussicht","Spielplatz","grosse, terrassierte Kiesfläche","0092","POINT Z (2679947.5 1250620.8 0)"
"","Hohenklingen-Allee                                                    ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Hohenklingen Allee                                                    ","","10678.0000000000","","","","","","","","","","","","","","","","8049","sp091","","1","","terrassierte Spielfläche, Spielhaus, Rutsche, Federwippe,  Sandbereich, Brettschaukel, Sitzbänke, Aussicht                                                                                                                                                ","+41 44 344 14 00","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","91","JA","0 - 5 Jahre","Spielhaus, Rutsche, Federwippe,  Sandbereich, Brettschaukel","","Sitzbänke","schöne Aussicht","Spielplatz","terrassierte Spielfläche","0091","POINT Z (2679310.5 1250693.9 0)"
"","Bachstrasse                                                           ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","GZ Wollishofen                                                        ","","10682.0000000000","","","","","","","","","","","","","","","","8038","sp083","","1","","Spiel- und Liegewiese, Kiesfläche, Sandkasten, Kletteranlage mit Rutsche, Brettschaukel, Spezialgeräte, Feuerstelle, Sitzbänke, Pergola, Bocciabahn, Gemeinschaftszentrum, Café                                                                           ","+41 44 201 75 00","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","83","JA","0 - 16 Jahre","Sandkasten, Kletteranlage mit Rutsche, Brettschaukel, Spezialgeräte","","Feuerstelle, Sitzbänke, Pergola, Bocciabahn","direkt am Zürichsee gelegenes Gemeinschaftszentrum mit Café  ","GZ mit Spielplatz","Spiel- und Liegewiese, Kiesfläche","0083","POINT Z (2682950.2 1244381.6 0)"
"","Muggenbühlstrasse 15                                                  ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Muggenbühl                                                            ","","10683.0000000000","","","","","","","","","","","","","","","","8038","sp082","","1","","Spiel- und Liegewiese, Hangrutsche, Drehkletterturm, Federwippe, Reck, Sandkasten, Sitzbänke                                                                                                                                                              ","+41 44 482 10 03","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","82","JA","0 - 5 Jahre","Hangrutsche, Drehkletterturm, Federwippe, Reck, Sandkasten","","Sitzbänke","ruhige, übersichtliche Spielanlage","Spielplatz","Spiel- und Liegewiese","0082","POINT Z (2682195.5 1244967.2 0)"
"","Schweighofstr./Staudenweg/ Bachtobelstr.                              ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Murmeliwiese                                                          ","","10684.0000000000","","","","","","","","","","","","","","","","8045","sp080","","1","","Spiel- und Liegewiese, Velopark, Kletteranlage mit Rutsche, Wasserförderanlage, Sandbereich, Hängematte, Korbschaukel, Tischtennistisch, Sitzbänke, Pergola, Bach                                                                                         ","+41 44 461 21 17","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","80","JA","0 - 9 Jahre","Kletteranlage mit Rutsche, Wasserförderanlage, Sandbereich, Hängematte, Korbschaukel, Tischtennistisch","","Sitzbänke, Pergola","schöner Bachspielplatz mit Velopark","Spielplatz","Spiel- und Liegewiese, Velopark","0080","POINT Z (2680823 1245738.8 0)"
"","Im Hagenbrünneli                                                      ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Hagenbrünneli                                                         ","","10685.0000000000","","","","","","","","","","","","","","","","8046","sp010","","1","","Spiel- und Liegewiese, Kleinkinderschaukel, Kletterlement, Federwippe, Sandbereich, Hangrutsche, Rotationsgerät, Sitzbänke                                                                                                                                ","+41 44 371 05 13","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","10","JA","0 - 5 Jahre","Kleinkinderschaukel, Kletterlement, Federwippe, Sandbereich, Hangrutsche, Rotationsgerät","","Sitzbänke","kleine Grünanlage","Spielplatz","Spiel- und Liegewiese","0010","POINT Z (2680999.5 1251943.5 0)"
"","Edelweissstrasse                                                      ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Letzigraben (Freibad)                                                 ","","10690.0000000000","","","","","","","","","","","","","","","","8047","sp187","","1","","Spiel- und Liegewiese, Drehscheiben, Rotationsgerät, Kletterelement, Sitzbänke, Badeanlage                                                                                                                                                                ","+41 44 461 21 17","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","187","JA","0 - 9 Jahre","Drehscheiben, Rotationsgerät, Kletterelement","","Sitzbänke","Spielanlage in Badeanlage. Öffnungszeiten berücksichtigen!","Spielplatz in Badeanlage","Spiel- und Liegewiese","0187","POINT Z (2680083 1248153.9 0)"
"","Wasserschöpfi                                                         ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Heuried (Freibad)                                                     ","","10691.0000000000","","","","","","","","","","","","","","","","8055","sp186","","1","","Spiel- und Liegewiese, Drehteller, Sandkasten, Rutsche, Kletteranlage mit Rutsche, Schwingwippe, Hängematte, Brettschaukel, Federwippe, Sitzbänke                                                                                                         ","+41 44 492 71 41","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","186","JA","0 - 9 Jahre","Drehteller, Sandkasten, Rutsche, Kletteranlage mit Rutsche, Schwingwippe, Hängematte, Brettschaukel, Federwippe","","Sitzbänke","Umbau 2016","Spielplatz in Badeanlage","Spiel- und Liegewiese","0186","POINT Z (2680629 1246782.9 0)"
"","Luegislandstrasse                                                     ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Auhof (Freibad)                                                       ","","10692.0000000000","","","","","","","","","","","","","","","","8051","sp185","","1","","Spiel- und Liegewiese, Kletteranlage mit Rutsche, Brettschaukel, Sitzbänke, Badeanlage                                                                                                                                                                    ","+41 44 322 02 20","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","185","JA","0 - 9 Jahre","Kletteranlage mit Rutsche, Brettschaukel","","Sitzbänke","Spielanlage in Badeanlage. Öffnungszeiten berücksichtigen!","Spielplatz in Badeanlage","Spiel- und Liegewiese","0185","POINT Z (2685414 1251381.9 0)"
"","Wallisellenstrasse                                                    ","","","","","Grün Stadt Zürich","202009041644","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Hallenbad Oerlikon                                                    ","","10693.0000000000","","","","","","","","","","","","","","","","8050","sp184","","1","","Spiel- und Liegewiese, Rundlauf, Spielhaus, Kletteranlage, Sitzbänke, Badeanlage                                                                                                                                                                          ","+41 44 322 02 20","","https://www.stadt-zuerich.ch/ted/de/index/gsz/natur-erleben/freizeit-im-gruenen/spielplaetze.html","","","","","","184","JA","0 - 9 Jahre","Rundlauf, Spielhaus, Kletteranlage","","Sitzbänke","Spielanlage in Badeanlage. Öffnungszeiten berücksichtigen!","Spielplatz in Badeanlage","Spiel- und Liegewiese","0184","POINT Z (2684351 1251535.9 0)"
